AeroDyn airfoil file Created with QBlade v0.9 64bit on 10.07.2015 at 14:51:45 Compatible with AeroDyn v13.0.
Polar "T1_Re1.000_M0.00_N9.0" on Foil "NACA 0018" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
17.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
0.00           Angle of attack for zero Cn for linear Cn curve (deg)
6.25462        Cn slope for zero lift for linear Cn curve (1/rad)
1.1476         Cn at stall value for positive angle of attack for linear Cn curve
-1.0842        Cn at stall value for negative angle of attack for linear Cn curve
0.00           Angle of attack for minimum CD (deg)
0.0071         Minimum CD value
    -10.00   -1.0984    0.0141
     -9.50   -1.0349    0.0133
     -9.00   -0.9711    0.0125
     -8.50   -0.9029    0.0118
     -8.00   -0.8459    0.0111
     -7.50   -0.7908    0.0105
     -7.00   -0.7411    0.0100
     -6.50   -0.6928    0.0095
     -6.00   -0.6427    0.0091
     -5.50   -0.5915    0.0087
     -5.00   -0.5396    0.0084
     -4.50   -0.4870    0.0081
     -4.00   -0.4338    0.0079
     -3.50   -0.3806    0.0077
     -3.00   -0.3269    0.0075
     -2.50   -0.2727    0.0074
     -2.00   -0.2184    0.0073
     -1.50   -0.1640    0.0072
     -1.00   -0.1093    0.0071
     -0.50   -0.0547    0.0071
      0.00   -0.0000    0.0071
      0.50    0.0547    0.0071
      1.00    0.1094    0.0071
      1.50    0.1640    0.0072
      2.00    0.2184    0.0073
      2.50    0.2727    0.0074
      3.00    0.3269    0.0075
      3.50    0.3807    0.0077
      4.00    0.4339    0.0079
      4.50    0.4870    0.0081
      5.00    0.5396    0.0084
      5.50    0.5916    0.0087
      6.00    0.6428    0.0091
      6.50    0.6930    0.0095
      7.00    0.7413    0.0100
      7.50    0.7910    0.0105
      8.00    0.8461    0.0111
      8.50    0.9032    0.0118
      9.00    0.9714    0.0125
      9.50    1.0352    0.0133
     10.00    1.0988    0.0141
     10.50    1.1644    0.0148
     11.00    1.2097    0.0157
     11.50    1.2017    0.0161
     12.00    1.2195    0.0168
     12.50    1.2443    0.0178
     13.00    1.2692    0.0192
     13.50    1.3016    0.0204
     14.00    1.3281    0.0220
     14.50    1.3482    0.0243
     15.00    1.3658    0.0269
     15.50    1.3897    0.0293
     16.00    1.4084    0.0322
     16.50    1.4202    0.0360
     17.00    1.4249    0.0407
     17.50    1.4183    0.0470
     18.00    1.3957    0.0554
     18.50    1.3896    0.0623
     19.00    1.3824    0.0695
     19.50    1.3687    0.0776
     20.00    1.3526    0.0863
   
